Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,102,12150,7393,3157,303,2827,124,1930,9307,12,26
C:\xampp\htdocs\CSC2024,102,12150,7393,3157,303,2827,124,1930,9307,12,26
C:\xampp\htdocs\CSC2024\Bits,5,1416,1301,452,0,104,0,11,25,3,7
C:\xampp\htdocs\CSC2024\Bits\express-css-table-design,2,1229,1161,373,0,58,0,10,22,3,7
C:\xampp\htdocs\CSC2024\Bits\express-css-table-design\source,2,1229,1161,373,0,58,0,10,22,3,7
C:\xampp\htdocs\CSC2024\Bits\styles,2,127,100,79,0,26,0,1,3,0,0
C:\xampp\htdocs\CSC2024\cache,0,0,0,0,0,0,0,0,0,0,0
C:\xampp\htdocs\CSC2024\js,4,1078,1006,682,2,45,0,27,117,6,11
C:\xampp\htdocs\CSC2024\js\colorpicker,3,566,561,333,2,5,0,0,0,0,0
C:\xampp\htdocs\CSC2024\js\colorpicker\css,2,381,378,307,0,3,0,0,0,0,0
C:\xampp\htdocs\CSC2024\js\colour,1,512,445,349,0,40,0,27,117,6,11
C:\xampp\htdocs\CSC2024\menu_source,2,173,169,114,0,2,3,2,9,0,1
C:\xampp\htdocs\CSC2024\script,1,1264,378,303,125,20,55,866,4303,0,0
C:\xampp\htdocs\CSC2024\script\cache,0,0,0,0,0,0,0,0,0,0,0
C:\xampp\htdocs\CSC2024\secure,66,5067,2866,741,48,2090,4,111,335,0,0
C:\xampp\htdocs\CSC2024\styles,2,700,628,457,0,57,5,15,103,3,7
